 ,Area,StdDev,X,Y,Perim.
1,0.003,109.761,0.336,0.047,0.209
2,0.005,124.851,0.200,0.160,0.260
3,0.005,120.599,3.248,2.514,0.289
4,0.002,109.238,2.945,2.316,0.178
5,0.003,116.372,2.884,2.233,0.213
6,0.004,111.789,3.029,2.393,0.221
7,0.005,119.839,2.642,2.442,0.281
8,0.005,112.584,1.914,2.525,0.265
9,0.004,124.164,1.614,2.456,0.249
10,0.003,124.110,1.884,1.567,0.208
11,0.004,126.249,3.536,0.162,0.235
12,0.004,122.965,3.687,0.240,0.227
13,0.002,118.284,3.863,0.469,0.182
14,0.003,121.939,3.820,0.565,0.206
15,0.003,123.138,3.790,0.694,0.216
16,0.004,113.290,3.909,0.663,0.221
17,0.003,111.444,3.790,1.163,0.207
18,0.005,123.775,3.269,1.672,0.257
19,0.004,113.256,3.959,2.051,0.247
20,0.005,120.109,3.885,1.901,0.264
21,0.004,110.798,3.941,2.188,0.231
22,0.003,113.109,3.814,2.566,0.194
23,0.003,117.422,3.949,2.307,0.205
24,0.005,122.914,1.717,2.562,0.275
25,0.004,125.730,0.946,2.553,0.242
26,0.004,110.645,1.013,2.427,0.226
27,0.004,116.541,1.069,2.360,0.248
28,0.005,121.002,0.283,2.396,0.278
29,0.003,112.055,2.161,2.390,0.191
30,0.003,116.501,2.077,2.319,0.222
31,0.007,127.204,2.571,1.130,0.312
32,0.003,118.560,2.655,0.477,0.204
33,0.002,111.773,2.312,0.611,0.182
34,0.004,124.761,2.018,0.608,0.249
35,0.004,118.199,1.835,0.421,0.232
36,0.004,124.919,1.227,0.498,0.254
37,0.005,124.693,1.512,0.430,0.271
38,0.004,125.645,1.486,0.290,0.223
39,0.004,125.645,1.486,0.290,0.223
40,0.004,116.693,1.290,0.142,0.237
41,0.005,124.005,1.140,1.805,0.271
42,0.003,123.660,0.885,2.025,0.194
43,0.003,115.126,1.002,2.020,0.197
44,0.006,119.867,0.726,2.003,0.286
45,0.005,123.354,0.564,1.934,0.261
46,0.005,118.178,2.233,0.981,0.261
47,0.006,124.286,2.042,0.961,0.303
48,0.007,124.489,2.479,0.716,0.326
49,0.004,126.283,2.660,0.669,0.250
50,0.005,123.463,2.757,0.872,0.263
51,0.006,126.264,3.318,0.853,0.288
52,0.007,121.799,3.472,1.143,0.325
53,0.004,122.393,1.664,1.098,0.245
54,0.004,120.733,1.168,1.355,0.262
55,0.005,114.262,2.611,0.151,0.272
56,0.007,127.600,2.446,0.194,0.307
57,0.005,120.207,2.169,1.195,0.262
58,0.006,122.724,2.405,1.096,0.286
59,0.007,127.205,2.949,1.411,0.323
60,0.007,123.344,3.304,1.454,0.315
61,0.005,122.025,3.605,1.323,0.288
62,0.006,127.546,3.397,1.975,0.297
63,0.005,118.299,3.235,2.044,0.269
64,0.006,117.965,3.261,2.292,0.281
65,0.005,113.858,2.208,2.164,0.264
66,0.007,123.755,1.410,2.415,0.325
67,0.009,127.345,1.777,2.291,0.374
68,0.008,127.361,1.711,1.828,0.346
69,0.007,121.484,0.986,1.671,0.323
70,0.006,123.376,0.406,1.666,0.316
71,0.006,116.522,0.978,1.375,0.300
72,0.004,119.981,1.664,0.938,0.240
73,0.006,121.981,1.721,1.304,0.276
74,0.005,125.321,2.547,2.618,0.272
75,0.005,119.887,2.719,2.638,0.256
76,0.006,124.510,3.799,0.800,0.292
77,0.004,121.385,3.800,0.992,0.245
78,0.005,123.722,3.737,1.888,0.271
79,0.004,114.460,3.874,1.635,0.228
