 ,Area,X,Y,
1,0.014,0.462,0.118,
2,0.018,0.293,0.535,
3,0.004,0.811,0.536,
4,0.012,0.513,0.512,
5,0.022,2.038,2.429,
6,0.016,1.131,2.774,
7,0.024,2.507,3.006,
8,0.014,4.091,1.473,
9,0.014,4.798,1.072,
10,0.005,3.041,1.406,
11,0.010,3.192,1.393,
12,0.014,2.351,1.775,
13,0.019,0.642,2.257,
14,0.016,0.413,2.903,
15,0.014,2.905,0.540,
16,0.015,3.462,0.524,
17,0.013,4.732,0.751,
18,0.015,4.102,1.781,
19,0.006,3.231,2.140,
20,0.018,2.751,2.544,
21,0.016,2.431,3.419,
22,0.014,3.303,3.217,
23,0.014,4.338,2.713,
24,0.015,5.011,2.260,
25,0.014,4.310,2.282,
26,0.013,4.724,2.231,
27,0.015,3.169,2.299,
28,0.015,9.184,6.077,
29,0.022,7.941,6.685,
30,0.016,8.425,6.349,
31,0.013,8.699,6.140,
32,0.014,9.229,5.814,
33,0.010,9.726,5.476,
34,0.013,9.914,5.534,
35,0.011,9.726,4.407,
36,0.009,6.710,6.277,
37,0.016,6.720,7.005,
38,0.007,7.587,6.658,
39,0.012,7.203,6.637,
40,0.015,7.718,6.002,
41,0.016,8.158,5.744,
42,0.012,9.422,6.514,
43,0.011,9.545,6.322,
44,0.011,9.750,6.151,
45,0.009,9.978,6.024,
46,0.016,9.191,7.110,
47,0.017,7.511,7.336,
48,0.013,7.856,7.303,
49,0.016,6.479,6.838,
50,0.016,1.272,4.265,
51,0.017,5.140,7.458,
52,0.007,5.271,7.620,
53,0.010,4.733,7.534,
54,0.010,4.817,7.685,
55,0.009,4.013,7.398,
56,0.018,3.974,7.558,
57,0.020,2.079,7.426,
58,0.019,2.308,7.640,
59,0.021,0.756,6.519,
60,0.016,2.736,4.340,
61,0.007,2.431,4.645,
62,0.011,1.714,5.054,
63,0.016,1.091,5.298,
64,0.012,0.539,6.059,
65,0.013,1.035,6.161,
66,0.012,2.084,5.563,
67,0.012,3.846,5.184,
68,0.013,3.503,4.780,
69,0.017,4.787,4.855,
70,0.010,4.612,4.781,
71,0.017,2.600,6.260,
72,0.014,1.726,7.014,
73,0.016,0.823,4.446,
74,0.011,0.977,5.017,
75,0.009,3.104,4.466,
76,0.011,4.848,4.255,
77,0.015,7.694,1.927,
78,0.013,7.992,2.117,
79,0.017,6.589,2.759,
80,0.017,7.418,3.362,
81,0.013,9.643,3.310,
82,0.014,10.224,2.455,
83,0.013,10.271,2.003,
84,0.012,10.580,0.826,
85,0.009,10.249,1.790,
86,0.014,8.745,1.656,
87,0.010,8.568,1.302,
88,0.010,7.831,1.563,
89,0.012,8.034,1.232,
90,0.012,7.306,1.159,
91,0.014,9.001,0.691,
92,0.009,9.042,0.418,
93,0.011,8.758,0.640,
94,0.008,9.634,0.427,
95,0.014,8.556,2.496,
96,0.015,7.513,2.975,
97,0.012,7.181,3.240,
98,0.010,7.177,3.009,
99,0.009,8.394,1.814,
100,0.015,6.062,3.166,
101,0.012,5.607,3.150,
102,0.014,5.323,2.999,
103,0.013,5.074,2.924,
104,0.010,6.239,1.944,
105,0.014,6.576,2.139,
106,0.008,6.255,2.366,
107,0.010,6.417,2.612,
108,0.013,6.104,2.709,
109,0.012,5.002,2.728,
110,0.009,4.382,2.894,
111,0.010,4.493,3.012,
112,0.012,4.585,3.271,
113,0.013,3.948,2.798,
114,0.012,7.428,3.584,
115,0.013,8.180,2.740,
116,0.012,7.948,1.895,
117,0.008,7.252,1.778,
118,0.010,7.141,1.696,
119,0.016,7.153,2.018,
120,0.016,7.609,4.213,
121,0.012,7.744,3.382,
122,0.014,6.080,4.616,
123,0.015,6.228,4.809,
124,0.017,5.951,4.855,
125,0.012,4.935,4.580,
126,0.009,5.240,3.184,
127,0.012,5.030,3.623,
128,0.013,5.526,3.541,
129,0.015,5.987,2.508,
130,0.011,5.504,2.546,
131,0.010,5.773,2.058,
132,0.013,6.066,2.996,
133,0.013,3.956,3.395,
134,0.013,5.462,1.691,
135,0.010,5.198,2.742,
136,0.014,5.995,1.862,
137,0.010,6.442,1.910,
138,0.013,0.558,1.417,
139,0.013,2.099,1.225,
140,0.008,2.885,1.162,
141,0.016,3.043,1.641,
142,0.015,1.584,1.230,
143,0.015,2.959,0.282,
144,0.010,2.251,0.597,
145,0.008,2.151,1.831,
146,0.011,3.475,2.304,
147,0.013,3.937,2.343,
148,0.009,3.486,2.574,
149,0.010,3.356,2.499,
150,0.012,2.359,2.410,
