sample,run,Q,dQ,P.kbar,P
PY02,1,1.8025869,0.0090129345,0,0
PY02,2,1.8409807,0.0092049035,2.4,0.24
PY02,3,1.875535,0.009377675,8.8,0.8800000000000001
PY02,4,1.875535,0.009377675,15.9,1.59
PY02,5,1.8908926,0.009454463,27.75,2.775
PY02,6,1.9292864,0.009646432,36,3.6
PY02,7,1.9369652,0.009684826,40,4
PY02,8,1.9715195,0.0098575975,51,5.1
PY02,9,1.9024107,0.0095120535,23,2.3
PY02,10,1.8678564,0.009339282,7.5,0.75
PY02,11,1.8025869,0.0090129345,0.1,0.01
PY02bis,1,1.8217838,0.009108919,0,0
PY02bis,2,1.8832138,0.0094160690000000009,3,0.3
PY02bis,3,1.8832138,0.0094160690000000009,16,1.6
PY02bis,4,1.9331257,0.0096656285,38,3.8
PY02bis,5,1.9715195,0.0098575975,48,4.8
